[T, 000000]
[p, 000001]
[., 00001]
[i, 0001]
[e, 001]
[b, 0100000]
[", 0100001]
[F, 0100010]
[O, 01000110]
[H, 010001110]
[V, 010001111]
[f, 010010]
[W, 0100110]
[C, 0100111]
[r, 01010]
[u, 010110]
[d, 010111]
[/, 01100]
[c, 011010]
[S, 01101100]
[w, 01101101]
[y, 0110111]
[\, 0111000]
[:, 01110010]
[Y, 011100110]
[E, 011100111]
[D, 011101000]
[P, 011101001]
[=, 011101010]
[U, 011101011]
[g, 0111011]
[a, 01111]
[ , 10]
[l, 11000]
[#, 110010000]
[1, 110010001]
[R, 11001001]
[), 110010100]
[;, 110010101]
[L, 110010110]
[I, 110010111]
[x, 110011]
[n, 11010]
[o, 11011]
[(, 11100000]
[A, 111000010]
[@, 111000011]
[m, 1110001]
[h, 111001]
[s, 11101]
[t, 1111]
